year,phase,date,home_team,home_city,home_altitude_meters,away_team,away_city,away_altitude_meters,altitude_difference,home_goals,away_goals,score_raw,stadium
2018,Fase de Grupos,27 de febrero,Monagas,Maturín,67,Cerro Porteño,Asunción,77,-10,0,2,0:2 Archivado el 29 de agosto de 2021 en Wayback Machine.,Maturín
2018,Fase de Grupos,27 de febrero,Defensor Sporting,Montevideo,43,Grêmio,Porto Alegre,10,33,1,1,1:1 Archivado el 31 de agosto de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,13 de marzo,Cerro Porteño,Asunción,77,Defensor Sporting,Montevideo,43,34,2,1,2:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,4 de abril,Grêmio,Porto Alegre,10,Monagas,Maturín,67,-57,4,0,4:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Porto Alegre
2018,Fase de Grupos,17 de abril,Defensor Sporting,Montevideo,43,Monagas,Maturín,67,-24,3,1,3:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,17 de abril,Cerro Porteño,Asunción,77,Grêmio,Porto Alegre,10,67,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,25 de abril,Monagas,Maturín,67,Defensor Sporting,Montevideo,43,24,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Maturín
2018,Fase de Grupos,1 de mayo,Grêmio,Porto Alegre,10,Cerro Porteño,Asunción,77,-67,5,0,5:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Porto Alegre
2018,Fase de Grupos,15 de mayo,Defensor Sporting,Montevideo,43,Cerro Porteño,Asunción,77,-34,0,1,0:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,15 de mayo,Monagas,Maturín,67,Grêmio,Porto Alegre,10,57,1,2,1:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Maturín
2018,Fase de Grupos,23 de mayo,Cerro Porteño,Asunción,77,Monagas,Maturín,67,10,3,2,3:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,23 de mayo,Grêmio,Porto Alegre,10,Defensor Sporting,Montevideo,43,-33,1,0,1:0 Archivado el 24 de febrero de 2021 en Wayback Machine.,Porto Alegre
2018,Fase de Grupos,27 de febrero,Colo-Colo,Santiago,553,Atlético Nacional,Medellín,1495,-942,0,1,0:1 Archivado el 29 de agosto de 2021 en Wayback Machine.,Santiago
2018,Fase de Grupos,28 de febrero,Delfín,Manta,12,Bolívar,La Paz,3640,-3628,1,1,1:1 Archivado el 28 de agosto de 2021 en Wayback Machine.,Manta
2018,Fase de Grupos,14 de marzo,Bolívar,La Paz,3640,Colo-Colo,Santiago,553,3087,1,1,1:1 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,14 de marzo,Atlético Nacional,Medellín,1495,Delfín,Manta,12,1483,4,0,4:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Medellín
2018,Fase de Grupos,5 de abril,Colo-Colo,Santiago,553,Delfín,Manta,12,541,0,2,0:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Santiago
2018,Fase de Grupos,5 de abril,Bolívar,La Paz,3640,Atlético Nacional,Medellín,1495,2145,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,24 de abril,Atlético Nacional,Medellín,1495,Bolívar,La Paz,3640,-2145,4,1,4:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Medellín
2018,Fase de Grupos,2 de mayo,Delfín,Manta,12,Colo-Colo,Santiago,553,-541,1,2,1:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Manta
2018,Fase de Grupos,15 de mayo,Delfín,Manta,12,Atlético Nacional,Medellín,1495,-1483,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Manta
2018,Fase de Grupos,15 de mayo,Colo-Colo,Santiago,553,Bolívar,La Paz,3640,-3087,2,0,2:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Santiago
2018,Fase de Grupos,24 de mayo,Atlético Nacional,Medellín,1495,Colo-Colo,Santiago,553,942,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Medellín
2018,Fase de Grupos,24 de mayo,Bolívar,La Paz,3640,Delfín,Manta,12,3628,2,1,2:1 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,27 de febrero,Colo-Colo,Santiago,553,Atlético Nacional,Medellín,1495,-942,0,1,0:1 Archivado el 29 de agosto de 2021 en Wayback Machine.,Santiago
2018,Fase de Grupos,28 de febrero,Delfín,Manta,12,Bolívar,La Paz,3640,-3628,1,1,1:1 Archivado el 28 de agosto de 2021 en Wayback Machine.,Manta
